ano,codibge,valor
2003,110001,1127
2003,110002,525
2003,110003,188
2003,110004,1854
2003,110005,485
2003,110006,795
2003,110007,207
2003,110008,42
2003,110009,235
2003,110010,465
2003,110011,2074
2003,110012,630
2003,110013,0
2003,110014,666
2003,110015,558
2003,110018,532
2003,110020,666
2003,110025,193
2003,110026,52
2003,110028,1653
2003,110029,555
2003,110030,899
2003,110032,74
2003,110033,11
2003,110034,1215
2003,110037,128
2003,110040,125
2003,110045,342
2003,110050,144
2003,110060,30
2003,110070,155
2003,110080,68
2003,110090,76
2003,110092,100
2003,110094,0
2003,110100,469
2003,110110,224
2003,110120,245
2003,110130,8
2003,110140,149
2003,110143,101
2003,110145,0
2003,110146,0
2003,110147,69
2003,110148,232
2003,110149,30
2003,110150,180
2003,110155,182
2003,110160,170
2003,110170,478
2003,110175,341
2003,110180,86
2003,120001,347
2003,120005,336
2003,120010,580
2003,120013,115
2003,120017,318
2003,120020,2815
2003,120025,407
2003,120030,974
2003,120032,131
2003,120033,687
2003,120034,334
2003,120035,487
2003,120038,518
2003,120039,80
2003,120040,6331
2003,120042,571
2003,120043,103
2003,120045,275
2003,120050,741
2003,120060,713
2003,120070,398
2003,120080,114
2003,130002,512
2003,130006,151
2003,130008,389
2003,130010,525
2003,130014,384
2003,130020,393
2003,130030,845
2003,130040,709
2003,130050,866
2003,130060,598
2003,130063,293
2003,130068,733
2003,130070,149
2003,130080,41
2003,130083,262
2003,130090,170
2003,130100,1048
2003,130110,437
2003,130115,373
2003,130120,2439
2003,130130,259
2003,130140,1266
2003,130150,476
2003,130160,810
2003,130165,222
2003,130170,1543
2003,130180,254
2003,130185,331
2003,130190,2960
2003,130195,345
2003,130200,200
2003,130210,322
2003,130220,232
2003,130230,910
2003,130240,1217
2003,130250,2141
2003,130255,33
2003,130260,13824
2003,130270,835
2003,130280,756
2003,130290,878
2003,130300,962
2003,130310,1118
2003,130320,162
2003,130330,182
2003,130340,6608
2003,130350,184
2003,130353,368
2003,130356,617
2003,130360,288
2003,130370,352
2003,130380,91
2003,130390,924
2003,130395,4
2003,130400,246
2003,130406,28
2003,130410,987
2003,130420,513
2003,130423,128
2003,130426,345
2003,130430,764
2003,130440,599
2003,140002,8
2003,140005,247
2003,140010,2070
2003,140015,247
2003,140017,84
2003,140020,413
2003,140023,69
2003,140028,321
2003,140030,178
2003,140040,13
2003,140045,63
2003,140047,527
2003,140050,147
2003,140060,198
2003,140070,32
2003,150010,6406
2003,150013,296
2003,150020,1465
2003,150030,1078
2003,150034,345
2003,150040,1799
2003,150050,1134
2003,150060,1917
2003,150070,305
2003,150080,4145
2003,150085,196
2003,150090,1275
2003,150095,983
2003,150100,735
2003,150110,466
2003,150120,160
2003,150125,12
2003,150130,607
2003,150140,298
2003,150145,531
2003,150150,1388
2003,150157,596
2003,150160,205
2003,150170,3608
2003,150172,609
2003,150175,384
2003,150178,1349
2003,150180,3657
2003,150190,495
2003,150195,279
2003,150200,71
2003,150210,1081
2003,150215,51
2003,150220,1326
2003,150230,939
2003,150240,2114
2003,150250,993
2003,150260,104
2003,150270,727
2003,150275,673
2003,150276,69
2003,150277,21
2003,150280,551
2003,150285,250
2003,150290,1017
2003,150293,1704
2003,150295,532
2003,150300,189
2003,150304,376
2003,150307,654
2003,150309,487
2003,150310,247
2003,150320,1528
2003,150330,2402
2003,150340,42
2003,150345,1220
2003,150350,600
2003,150360,2653
2003,150370,1610
2003,150375,75
2003,150380,845
2003,150390,1222
2003,150400,380
2003,150405,1847
2003,150410,84
2003,150420,2280
2003,150430,299
2003,150440,529
2003,150442,1804
2003,150445,87
